task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session
Some;porters;brewers/Some;judges;brewers,Some;porters;judges,All;porters;judges|All;judges;porters|No;porters;judges|No;judges;porters|Some;porters;judges|Some;judges;porters|Some not;porters;judges|Some not;judges;porters|Most;porters;judges|Most;judges;porters|Most not;porters;judges|Most not;judges;porters|NVC,syllogistic-generalized,single-choice,participant_10,13,19569.0,II3,Iac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
All;bakers;sculptors/Most not;gamblers;sculptors,Most not;gamblers;bakers,All;bakers;gamblers|All;gamblers;bakers|No;bakers;gamblers|No;gamblers;bakers|Some;bakers;gamblers|Some;gamblers;bakers|Some not;bakers;gamblers|Some not;gamblers;bakers|Most;bakers;gamblers|Most;gamblers;bakers|Most not;bakers;gamblers|Most not;gamblers;bakers|NVC,syllogistic-generalized,single-choice,participant_10,14,32171.0,AD3,Dca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most;painters;auditors/No;auditors;cleaners,Most not;painters;cleaners,All;painters;cleaners|All;cleaners;painters|No;painters;cleaners|No;cleaners;painters|Some;painters;cleaners|Some;cleaners;painters|Some not;painters;cleaners|Some not;cleaners;painters|Most;painters;cleaners|Most;cleaners;painters|Most not;painters;cleaners|Most not;cleaners;painters|NVC,syllogistic-generalized,single-choice,participant_10,15,58324.0,TE1,Dac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some;riders;counselors/Most not;riders;joggers,Some not;counselors;joggers,All;counselors;joggers|All;joggers;counselors|No;counselors;joggers|No;joggers;counselors|Some;counselors;joggers|Some;joggers;counselors|Some not;counselors;joggers|Some not;joggers;counselors|Most;counselors;joggers|Most;joggers;counselors|Most not;counselors;joggers|Most not;joggers;counselors|NVC,syllogistic-generalized,single-choice,participant_10,16,14533.0,ID4,Oac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most not;divers;carpenters/Some;linguists;divers,Some not;linguists;carpenters,All;carpenters;linguists|All;linguists;carpenters|No;carpenters;linguists|No;linguists;carpenters|Some;carpenters;linguists|Some;linguists;carpenters|Some not;carpenters;linguists|Some not;linguists;carpenters|Most;carpenters;linguists|Most;linguists;carpenters|Most not;carpenters;linguists|Most not;linguists;carpenters|NVC,syllogistic-generalized,single-choice,participant_10,17,24433.0,DI2,Oca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most not;miners;poets/All;skaters;miners,Most not;skaters;poets,All;poets;skaters|All;skaters;poets|No;poets;skaters|No;skaters;poets|Some;poets;skaters|Some;skaters;poets|Some not;poets;skaters|Some not;skaters;poets|Most;poets;skaters|Most;skaters;poets|Most not;poets;skaters|Most not;skaters;poets|NVC,syllogistic-generalized,single-choice,participant_10,18,81005.0,DA2,Dca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most not;architects;trainers/Most;designers;trainers,Most not;designers;architects,All;architects;designers|All;designers;architects|No;architects;designers|No;designers;architects|Some;architects;designers|Some;designers;architects|Some not;architects;designers|Some not;designers;architects|Most;architects;designers|Most;designers;architects|Most not;architects;designers|Most not;designers;architects|NVC,syllogistic-generalized,single-choice,participant_10,19,29294.0,DT3,Dca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;runners;chefs/Most not;scientists;chefs,No;scientists;runners,All;runners;scientists|All;scientists;runners|No;runners;scientists|No;scientists;runners|Some;runners;scientists|Some;scientists;runners|Some not;runners;scientists|Some not;scientists;runners|Most;runners;scientists|Most;scientists;runners|Most not;runners;scientists|Most not;scientists;runners|NVC,syllogistic-generalized,single-choice,participant_10,20,26796.0,ED3,Eca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;farmers;scholars/Most;assistants;farmers,No;assistants;scholars,All;scholars;assistants|All;assistants;scholars|No;scholars;assistants|No;assistants;scholars|Some;scholars;assistants|Some;assistants;scholars|Some not;scholars;assistants|Some not;assistants;scholars|Most;scholars;assistants|Most;assistants;scholars|Most not;scholars;assistants|Most not;assistants;scholars|NVC,syllogistic-generalized,single-choice,participant_10,21,53429.0,ET2,Eca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some not;novelists;analysts/Some not;analysts;travelers,Some not;novelists;travelers,All;novelists;travelers|All;travelers;novelists|No;novelists;travelers|No;travelers;novelists|Some;novelists;travelers|Some;travelers;novelists|Some not;novelists;travelers|Some not;travelers;novelists|Most;novelists;travelers|Most;travelers;novelists|Most not;novelists;travelers|Most not;travelers;novelists|NVC,syllogistic-generalized,single-choice,participant_10,22,48674.0,OO1,Oac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most;planners;surfers/Most not;artists;planners,Most not;surfers;artists,All;surfers;artists|All;artists;surfers|No;surfers;artists|No;artists;surfers|Some;surfers;artists|Some;artists;surfers|Some not;surfers;artists|Some not;artists;surfers|Most;surfers;artists|Most;artists;surfers|Most not;surfers;artists|Most not;artists;surfers|NVC,syllogistic-generalized,single-choice,participant_10,23,34640.0,TD2,Dac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most;mayors;cooks/Some not;mayors;swimmers,Most not;cooks;swimmers,All;cooks;swimmers|All;swimmers;cooks|No;cooks;swimmers|No;swimmers;cooks|Some;cooks;swimmers|Some;swimmers;cooks|Some not;cooks;swimmers|Some not;swimmers;cooks|Most;cooks;swimmers|Most;swimmers;cooks|Most not;cooks;swimmers|Most not;swimmers;cooks|NVC,syllogistic-generalized,single-choice,participant_10,24,161890.0,TO4,Dac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;actors;painters/All;workers;actors,No;workers;painters,All;painters;workers|All;workers;painters|No;painters;workers|No;workers;painters|Some;painters;workers|Some;workers;painters|Some not;painters;workers|Some not;workers;painters|Most;painters;workers|Most;workers;painters|Most not;painters;workers|Most not;workers;painters|NVC,syllogistic-generalized,single-choice,participant_10,25,53286.0,EA2,Eca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some;runners;scientists/Most not;chefs;runners,Some;scientists;chefs,All;scientists;chefs|All;chefs;scientists|No;scientists;chefs|No;chefs;scientists|Some;scientists;chefs|Some;chefs;scientists|Some not;scientists;chefs|Some not;chefs;scientists|Most;scientists;chefs|Most;chefs;scientists|Most not;scientists;chefs|Most not;chefs;scientists|NVC,syllogistic-generalized,single-choice,participant_10,26,38116.0,ID2,Iac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most;auditors;cleaners/Most not;auditors;painters,Most not;cleaners;painters,All;cleaners;painters|All;painters;cleaners|No;cleaners;painters|No;painters;cleaners|Some;cleaners;painters|Some;painters;cleaners|Some not;cleaners;painters|Some not;painters;cleaners|Most;cleaners;painters|Most;painters;cleaners|Most not;cleaners;painters|Most not;painters;cleaners|NVC,syllogistic-generalized,single-choice,participant_10,27,14092.0,TD4,Dac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;campers;fencers/Most;campers;engineers,No;fencers;engineers,All;fencers;engineers|All;engineers;fencers|No;fencers;engineers|No;engineers;fencers|Some;fencers;engineers|Some;engineers;fencers|Some not;fencers;engineers|Some not;engineers;fencers|Most;fencers;engineers|Most;engineers;fencers|Most not;fencers;engineers|Most not;engineers;fencers|NVC,syllogistic-generalized,single-choice,participant_10,28,20236.0,ET4,Eac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some not;drillers;nurses/Some;actors;drillers,Some not;actors;nurses,All;nurses;actors|All;actors;nurses|No;nurses;actors|No;actors;nurses|Some;nurses;actors|Some;actors;nurses|Some not;nurses;actors|Some not;actors;nurses|Most;nurses;actors|Most;actors;nurses|Most not;nurses;actors|Most not;actors;nurses|NVC,syllogistic-generalized,single-choice,participant_10,29,99958.0,OI2,Oca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
No;farmers;assistants/Some not;scholars;farmers,NVC,All;assistants;scholars|All;scholars;assistants|No;assistants;scholars|No;scholars;assistants|Some;assistants;scholars|Some;scholars;assistants|Some not;assistants;scholars|Some not;scholars;assistants|Most;assistants;scholars|Most;scholars;assistants|Most not;assistants;scholars|Most not;scholars;assistants|NVC,syllogistic-generalized,single-choice,participant_10,30,37422.0,EO2,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
All;sailors;chemists/Some;chemists;potters,Some;sailors;potters,All;sailors;potters|All;potters;sailors|No;sailors;potters|No;potters;sailors|Some;sailors;potters|Some;potters;sailors|Some not;sailors;potters|Some not;potters;sailors|Most;sailors;potters|Most;potters;sailors|Most not;sailors;potters|Most not;potters;sailors|NVC,syllogistic-generalized,single-choice,participant_10,31,19130.0,AI1,Iac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some;drillers;actors/No;nurses;actors,No;drillers;nurses,All;drillers;nurses|All;nurses;drillers|No;drillers;nurses|No;nurses;drillers|Some;drillers;nurses|Some;nurses;drillers|Some not;drillers;nurses|Some not;nurses;drillers|Most;drillers;nurses|Most;nurses;drillers|Most not;drillers;nurses|Most not;nurses;drillers|NVC,syllogistic-generalized,single-choice,participant_10,32,34494.0,IE3,Eac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most not;investors;jugglers/Most;investors;barbers,Most not;barbers;jugglers,All;jugglers;barbers|All;barbers;jugglers|No;jugglers;barbers|No;barbers;jugglers|Some;jugglers;barbers|Some;barbers;jugglers|Some not;jugglers;barbers|Some not;barbers;jugglers|Most;jugglers;barbers|Most;barbers;jugglers|Most not;jugglers;barbers|Most not;barbers;jugglers|NVC,syllogistic-generalized,single-choice,participant_10,33,28763.0,DT4,Dca,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
All;judges;porters/Most;brewers;porters,Most;judges;brewers,All;judges;brewers|All;brewers;judges|No;judges;brewers|No;brewers;judges|Some;judges;brewers|Some;brewers;judges|Some not;judges;brewers|Some not;brewers;judges|Most;judges;brewers|Most;brewers;judges|Most not;judges;brewers|Most not;brewers;judges|NVC,syllogistic-generalized,single-choice,participant_10,34,40618.0,AT3,Tac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most;poets;cashiers/Most not;cashiers;waiters,Most not;poets;waiters,All;poets;waiters|All;waiters;poets|No;poets;waiters|No;waiters;poets|Some;poets;waiters|Some;waiters;poets|Some not;poets;waiters|Some not;waiters;poets|Most;poets;waiters|Most;waiters;poets|Most not;poets;waiters|Most not;waiters;poets|NVC,syllogistic-generalized,single-choice,participant_10,35,10540.0,TD1,Dac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some;designers;architects/All;architects;trainers,Some;trainers;designers,All;designers;trainers|All;trainers;designers|No;designers;trainers|No;trainers;designers|Some;designers;trainers|Some;trainers;designers|Some not;designers;trainers|Some not;trainers;designers|Most;designers;trainers|Most;trainers;designers|Most not;designers;trainers|Most not;trainers;designers|NVC,syllogistic-generalized,single-choice,participant_10,36,23519.0,IA1,Ica,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Most not;carpenters;divers/Some not;carpenters;linguists,NVC,All;divers;linguists|All;linguists;divers|No;divers;linguists|No;linguists;divers|Some;divers;linguists|Some;linguists;divers|Some not;divers;linguists|Some not;linguists;divers|Most;divers;linguists|Most;linguists;divers|Most not;divers;linguists|Most not;linguists;divers|NVC,syllogistic-generalized,single-choice,participant_10,37,16216.0,DO4,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
All;dancers;typists/Some;dancers;boxers,Some;boxers;typists,All;typists;boxers|All;boxers;typists|No;typists;boxers|No;boxers;typists|Some;typists;boxers|Some;boxers;typists|Some not;typists;boxers|Some not;boxers;typists|Most;typists;boxers|Most;boxers;typists|Most not;typists;boxers|Most not;boxers;typists|NVC,syllogistic-generalized,single-choice,participant_10,38,14318.0,AI4,Ica,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
All;tailors;singers/Most not;singers;pilots,NVC,All;tailors;pilots|All;pilots;tailors|No;tailors;pilots|No;pilots;tailors|Some;tailors;pilots|Some;pilots;tailors|Some not;tailors;pilots|Some not;pilots;tailors|Most;tailors;pilots|Most;pilots;tailors|Most not;tailors;pilots|Most not;pilots;tailors|NVC,syllogistic-generalized,single-choice,participant_10,39,35957.0,AD1,NVC,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some;lifeguards;plumbers/No;plumbers;dentists,Some not;lifeguards;dentists,All;lifeguards;dentists|All;dentists;lifeguards|No;lifeguards;dentists|No;dentists;lifeguards|Some;lifeguards;dentists|Some;dentists;lifeguards|Some not;lifeguards;dentists|Some not;dentists;lifeguards|Most;lifeguards;dentists|Most;dentists;lifeguards|Most not;lifeguards;dentists|Most not;dentists;lifeguards|NVC,syllogistic-generalized,single-choice,participant_10,40,48980.0,IE1,Oac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some;managers;models/No;managers;clerks,Some not;models;clerks,All;models;clerks|All;clerks;models|No;models;clerks|No;clerks;models|Some;models;clerks|Some;clerks;models|Some not;models;clerks|Some not;clerks;models|Most;models;clerks|Most;clerks;models|Most not;models;clerks|Most not;clerks;models|NVC,syllogistic-generalized,single-choice,participant_10,41,26509.0,IE4,Oac,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
Some;brokers;secretaries/All;agents;brokers,Some;agents;secretaries,All;secretaries;agents|All;agents;secretaries|No;secretaries;agents|No;agents;secretaries|Some;secretaries;agents|Some;agents;secretaries|Some not;secretaries;agents|Some not;agents;secretaries|Most;secretaries;agents|Most;agents;secretaries|Most not;secretaries;agents|Most not;agents;secretaries|NVC,syllogistic-generalized,single-choice,participant_10,42,44809.0,IA2,Ica,female,bachelors,7,34,20,72,yes,because all analysts are joggers then some of the analysts might be potters since some joggers are potters,yes,72,80,90,yes,,,1
